value,label
3155,Western Riparian Woodland and Shrubland
3257,Western Riparian Woodland and Shrubland
3258,Western Riparian Woodland and Shrubland
3128,Pacific Coastal Scrub
3092,Pacific Coastal Scrub
3105,Chaparral
3110,Chaparral
3097,Chaparral
3096,Chaparral
3098,Chaparral
3099,Chaparral
3078,Blackbrush Shrubland
3082,Desert Scrub
3210,Blackbrush Shrubland
3067,Alpine Dwarf-Shrubland  Fell-field and Meadow
3071,Alpine Dwarf-Shrubland  Fell-field and Meadow
3136,Dry Tundra
3131,Grassland
3129,Grassland
3130,Grassland
3137,Alpine Dwarf-Shrubland  Fell-field and Meadow
3163,Pacific Coastal Marsh
3139,Grassland
3140,Grassland
3125,Big Sagebrush Shrubland and Steppe
3126,Big Sagebrush Shrubland and Steppe
3220,Big Sagebrush Shrubland and Steppe
3080,Big Sagebrush Shrubland and Steppe
3127,Desert Scrub
3064,Low Sagebrush Shrubland and Steppe
3072,Low Sagebrush Shrubland and Steppe
3079,Low Sagebrush Shrubland and Steppe
3124,Low Sagebrush Shrubland and Steppe
3145,Alpine Dwarf-Shrubland  Fell-field and Meadow
3070,Alpine Dwarf-Shrubland  Fell-field and Meadow
3143,Alpine Dwarf-Shrubland  Fell-field and Meadow
3144,Dry Tundra
3146,Grassland
3019,Pinyon-Juniper Woodland
3115,Juniper Woodland and Savanna
3107,Deciduous Shrubland
3217,Deciduous Shrubland
3075,Salt Desert Scrub
3081,Salt Desert Scrub
3088,Salt Desert Scrub
3211,Desert Scrub
3062,Mountain Mahogany Woodland and Shrubland
3250,Mountain Mahogany Woodland and Shrubland
3012,Bigtooth Maple Woodland
3086,Deciduous Shrubland
3106,Deciduous Shrubland
3160,Western Riparian Woodland and Shrubland
3164,Western Herbaceous Wetland
3252,Western Riparian Woodland and Shrubland
3066,Salt Desert Scrub
3153,Greasewood Shrubland
3135,Grassland
3103,Chaparral
3104,Chaparral
3108,Chaparral
3214,Chaparral
3215,Chaparral
3216,Chaparral
3016,Pinyon-Juniper Woodland
3025,Pinyon-Juniper Woodland
3059,Pinyon-Juniper Woodland
3119,Juniper Woodland and Savanna
3121,Grassland and Steppe
3122,Grassland and Steppe
3256,Grassland and Steppe
3074,Creosotebush Desert Scrub
3087,Creosotebush Desert Scrub
3090,Desert Scrub
3091,Desert Scrub
3109,Desert Scrub
3100,Desert Scrub
3150,Tallgrass Prairie
3270,Tallgrass Prairie
3412,Tallgrass Prairie
3420,Tallgrass Prairie
3421,Tallgrass Prairie
3495,Depressional Wetland
3147,Grassland
3093,Sand Shrubland
3094,Sand Shrubland
3212,Sand Shrubland
3141,Mixedgrass Prairie
3149,Shortgrass Prairie
3085,Big Sagebrush Shrubland and Steppe
3503,Grassland
3504,Depressional Wetland
3132,Mixedgrass Prairie
3207,Mixedgrass Prairie
3423,Tallgrass Prairie
3434,Inland Marshes and Prairies
3133,Grassland
3422,Tallgrass Prairie
3428,Prairies and Barrens
3429,Prairies and Barrens
3433,Prairies and Barrens
3568,Prairies and Barrens
3442,Grassland
3148,Sand Prairie
3209,Sand Prairie
3426,Atlantic Dunes and Grasslands
3435,Atlantic Dunes and Grasslands
3437,Atlantic Dunes and Grasslands
3440,Grassland
3443,Atlantic Dunes and Grasslands
3439,Grassland
3390,Desert Scrub
3391,Mesquite Woodland and Scrub
3392,Desert Scrub
3438,Grassland
3560,Desert Scrub
3076,Desert Scrub
3095,Mesquite Woodland and Scrub
3111,Mesquite Woodland and Scrub
3204,Mesquite Woodland and Scrub
3213,Juniper-Oak
3405,Glades and Barrens
3415,Prairies and Barrens
3383,Post Oak Woodland and Savanna
3393,Juniper-Oak
3410,Glades and Barrens
3523,Juniper-Oak
3524,Bigtooth Maple Woodland
3558,Post Oak Woodland and Savanna
3559,Post Oak Woodland and Savanna
3561,Glades and Barrens
3077,Succulent Desert Scrub
3101,Chaparral
3116,Juniper Woodland and Savanna
3291,Glades and Barrens
3363,Glades and Barrens
3401,Glades and Barrens
3486,Inland Marshes and Prairies
3446,Pine Flatwoods
3425,Prairies and Barrens
3566,Prairies and Barrens
3396,Atlantic Coastal Marsh
3483,Atlantic Coastal Marsh
3490,Atlantic Coastal Marsh
3576,Atlantic Coastal Marsh
3581,Atlantic Coastal Marsh
3485,Inland Marshes and Prairies
3489,Inland Marshes and Prairies
3577,Inland Marshes and Prairies
3578,Inland Marshes and Prairies
3579,Inland Marshes and Prairies
3580,Inland Marshes and Prairies
3608,Avalanche Slope Shrubland
3609,Alder Shrubland
3638,Alder Shrubland
3652,Alder Shrubland
3672,Alder Shrubland
3680,Avalanche Slope Shrubland
3718,Alder Shrubland
3633,Herbaceous Meadow
3645,Herbaceous Meadow
3671,Dune Grassland
3709,Beach Meadow
3725,Beach Meadow
3749,Beach Meadow
3611,Wet Meadow
3634,Dwarf Shrubland
3685,Sparse Tundra
3686,Sparse Tundra
3688,Dwarf Shrubland
3689,Dwarf Shrubland
3690,Dwarf Shrubland
3612,Boreal Grassland
3740,Freshwater Aquatic Bed
3743,Freshwater Marsh
3744,Freshwater Marsh
3746,Freshwater Marsh
3748,Freshwater Marsh
3761,Shrub and Herbaceous Floodplain Wetland
